task,participant_id,dominant_hand,hand_used,mode,mapping,list,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,item_original,sentence,last_word,meaningful,number_letters,word_count,word_frequency,cloze_probability,original_dataset,spelling_modified,start_time,end_time
SD,amanda1000,right,right,full,2,A,1,p1,practice,Practice,NA,NA,left,right,0,1092,6,The janitor accidentally spilled some water on the,moon,False,4,8,none,0.88,block_baldwin,no,2026-02-25 00:51:49,2026-02-25 00:51:54
SD,amanda1000,right,right,full,2,A,2,p1,practice,Practice,NA,NA,left,NA,0,4000,7,The crime rate has gone up this,banana,False,6,7,none,0.81,block_baldwin,no,2026-02-25 00:51:55,2026-02-25 00:52:03
SD,amanda1000,right,right,full,2,A,3,p1,practice,Practice,NA,NA,left,left,1,1643,14,Andrea watered her garden with a small,bear,False,4,7,none,0.45,peele,no,2026-02-25 00:52:05,2026-02-25 00:52:10
SD,amanda1000,right,right,full,2,A,4,p1,practice,Practice,NA,NA,right,right,1,1213,86,"While his parents vacationed, the kid threw a huge",fit,True,3,9,none,0.84,peele,no,2026-02-25 00:52:12,2026-02-25 00:52:18
SD,amanda1000,right,right,full,2,A,5,p1,practice,Practice,NA,NA,right,right,1,1313,9,The couple's trip was ruined when it began to,rain,True,4,9,none,0.85,peele,no,2026-02-25 00:52:19,2026-02-25 00:52:25
SD,amanda1000,right,right,full,2,A,6,p1,practice,Practice,NA,NA,right,right,1,2730,117,The teacher was afraid of germs and getting,infected,True,8,8,none,0.92,peele,no,2026-02-25 00:52:27,2026-02-25 00:52:34
SD,amanda1000,right,right,full,2,A,7,p1,practice,Practice,NA,NA,right,right,1,1214,4,She made herself a sandwich and chips for,lunch,True,5,8,none,0.9,block_baldwin,no,2026-02-25 00:52:35,2026-02-25 00:52:41
SD,amanda1000,right,right,full,2,A,8,p1,practice,Practice,NA,NA,right,NA,0,4000,1,In the evening grandpa smokes using his,pipe,True,4,7,none,0.96,peele,no,2026-02-25 00:52:42,2026-02-25 00:52:50
SD,amanda1000,right,right,full,2,A,9,p1,practice,Practice,NA,NA,right,right,1,1728,131,Claire claimed motherhood was the hardest job she ever,accomplished,True,12,9,none,0.82,peele,no,2026-02-25 00:52:52,2026-02-25 00:52:58
SD,amanda1000,right,right,full,2,A,10,b1,experimental,Switching,NA,NA,right,right,1,2504,103,The fisherman easily put the bait on the,rod,True,3,8,13158826,0.93,peele,no,2026-02-25 00:53:07,2026-02-25 00:53:13
SD,amanda1000,right,right,full,2,A,11,b1,experimental,Predictable,NA,NA,right,right,1,666,58,The gas station is about two miles down the,road,True,4,9,134754203,0.88,block_baldwin,no,2026-02-25 00:53:14,2026-02-25 00:53:19
SD,amanda1000,right,right,full,2,A,12,b1,experimental,Switching,NA,NA,right,right,1,1800,112,"After weeks at sea, the bottle washed up onto the",rocks,True,5,10,12463155,0.83,peele,yes,2026-02-25 00:53:20,2026-02-25 00:53:27
SD,amanda1000,right,right,full,2,A,13,b1,experimental,Meaningless,NA,NA,left,right,0,625,287,I had no key to open the locked,loss,False,4,8,83845349,0.89,block_baldwin,no,2026-02-25 00:53:27,2026-02-25 00:53:32
SD,amanda1000,right,right,full,2,A,14,b1,experimental,Switching,NA,NA,right,right,1,1169,144,The necklaces were what the thief intended to,sell,True,4,8,141076205,0.83,peele,no,2026-02-25 00:53:33,2026-02-25 00:53:38
SD,amanda1000,right,right,full,2,A,15,b1,experimental,Switching,NA,NA,right,right,1,0,127,Ollie was tired of the radio playing the same,songs,True,5,9,49747608,0.84,peele,no,2026-02-25 00:53:39,2026-02-25 00:53:44
SD,amanda1000,right,right,full,2,A,16,b1,experimental,Meaningless,NA,NA,left,right,0,0,265,The boy screamed after he was stung by a,tone,False,4,9,17489966,0.81,peele,no,2026-02-25 00:53:44,2026-02-25 00:53:49
SD,amanda1000,right,right,full,2,A,17,b1,experimental,Meaningless,NA,NA,left,left,1,1690,288,During the holidays it is very expensive to book a,snake,False,5,10,7615672,0.81,block_baldwin,yes,2026-02-25 00:53:49,2026-02-25 00:53:56
SD,amanda1000,right,right,full,2,A,18,b1,experimental,Meaningless,NA,NA,left,left,1,2549,278,Jenny lit the candles on the birthday,bath,False,4,7,30641959,0.94,block_baldwin,no,2026-02-25 00:53:57,2026-02-25 00:54:03
SD,amanda1000,right,right,full,2,A,19,b1,experimental,Predictable,NA,NA,right,right,1,1156,45,Jan tried to squeeze in but there was no,room,True,4,9,179794224,0.85,block_baldwin,no,2026-02-25 00:54:04,2026-02-25 00:54:10
SD,amanda1000,right,right,full,2,A,20,b1,experimental,Switching,NA,NA,right,right,1,1213,104,The gentleman on the bus offered the child his,snack,True,5,9,3851856,0.9,peele,no,2026-02-25 00:54:10,2026-02-25 00:54:16
SD,amanda1000,right,right,full,2,A,21,b1,experimental,Switching,NA,NA,right,right,1,1155,105,"Soon after Janice stepped on the wet floor, she",stumbled,True,8,9,1382824,0.82,peele,no,2026-02-25 00:54:17,2026-02-25 00:54:23
SD,amanda1000,right,right,full,2,A,22,b1,experimental,Meaningless,NA,NA,left,right,0,875,299,The baby bird was ready to learn to,drive,False,5,8,109504766,0.91,block_baldwin,no,2026-02-25 00:54:23,2026-02-25 00:54:28
SD,amanda1000,right,right,full,2,A,23,b1,experimental,Meaningless,NA,NA,left,left,1,1646,294,"To prevent football injury, all players must wear shoulder",mistake,False,7,9,10869967,0.96,block_baldwin,no,2026-02-25 00:54:29,2026-02-25 00:54:35
SD,amanda1000,right,right,full,2,A,24,b1,experimental,Switching,NA,NA,right,right,1,1153,124,The elementary school girl loved to hula,dance,True,5,7,51387258,0.83,peele,no,2026-02-25 00:54:36,2026-02-25 00:54:41
SD,amanda1000,right,right,full,2,A,25,b1,experimental,Meaningless,NA,NA,left,left,1,1505,293,He had a long day and was in a bad,bake,False,4,10,3793474,0.95,block_baldwin,no,2026-02-25 00:54:41,2026-02-25 00:54:48
SD,amanda1000,right,right,full,2,A,26,b1,experimental,Switching,NA,NA,right,right,1,882,138,Our walk was illuminated by the light of the,sun,True,3,9,123311561,0.84,peele,no,2026-02-25 00:54:48,2026-02-25 00:54:54
SD,amanda1000,right,right,full,2,A,27,b1,experimental,Switching,NA,NA,right,right,1,1294,130,Eric was worried that his car didn't have enough,oil,True,3,9,83135749,0.86,peele,no,2026-02-25 00:54:55,2026-02-25 00:55:01
SD,amanda1000,right,right,full,2,A,28,b1,experimental,Meaningless,NA,NA,left,left,1,1613,297,Success is often just a matter of hard,scream,False,6,8,4315852,0.93,block_baldwin,yes,2026-02-25 00:55:01,2026-02-25 00:55:07
SD,amanda1000,right,right,full,2,A,29,b1,experimental,Switching,NA,NA,right,right,1,1083,137,Daniel was upset that his basketball team didn't,compete,True,7,8,9274206,0.91,peele,no,2026-02-25 00:55:07,2026-02-25 00:55:13
SD,amanda1000,right,right,full,2,A,30,b1,experimental,Predictable,NA,NA,right,right,1,1540,42,The accountant ironed a shirt before going to,work,True,4,8,446236148,0.9,block_baldwin,no,2026-02-25 00:55:13,2026-02-25 00:55:19
SD,amanda1000,right,right,full,2,A,31,b1,experimental,Predictable,NA,NA,right,left,0,1342,35,The knight prepared for battle and drew his,sword,True,5,8,8865097,0.91,block_baldwin,yes,2026-02-25 00:55:20,2026-02-25 00:55:25
SD,amanda1000,right,right,full,2,A,32,b1,experimental,Predictable,NA,NA,right,right,1,780,75,The shape of the woman's crystal ball was,round,True,5,8,62452044,0.82,block_baldwin,no,2026-02-25 00:55:26,2026-02-25 00:55:31
SD,amanda1000,right,right,full,2,A,33,b1,experimental,Predictable,NA,NA,right,right,1,969,64,George must keep his pet on a,leash,True,5,7,1311597,0.9,block_baldwin,no,2026-02-25 00:55:31,2026-02-25 00:55:36
SD,amanda1000,right,right,full,2,A,34,b1,experimental,Predictable,NA,NA,right,right,1,862,37,The bride smiled as she walked down the,aisle,True,5,8,1919732,0.88,block_baldwin,no,2026-02-25 00:55:36,2026-02-25 00:55:42
SD,amanda1000,right,right,full,2,A,35,b1,experimental,Meaningless,NA,NA,left,right,0,2148,302,Surfers are scared of getting bitten by a,mirror,False,6,8,21617803,0.92,block_baldwin,no,2026-02-25 00:55:42,2026-02-25 00:55:48
SD,amanda1000,right,right,full,2,A,36,b1,experimental,Meaningless,NA,NA,left,right,0,926,285,The building isn't for sale but it's available to,kill,False,4,9,24970551,0.81,peele,no,2026-02-25 00:55:49,2026-02-25 00:55:55
SD,amanda1000,right,right,full,2,A,37,b1,experimental,Switching,NA,NA,right,right,1,528,140,Kelly believed that everything was determined by,looks,True,5,7,44159268,0.83,peele,no,2026-02-25 00:55:55,2026-02-25 00:55:59
SD,amanda1000,right,right,full,2,A,38,b1,experimental,Meaningless,NA,NA,left,right,0,732,286,The castle was protected by its stone,fans,False,4,7,29390369,0.86,block_baldwin,no,2026-02-25 00:56:00,2026-02-25 00:56:04
SD,amanda1000,right,right,full,2,A,39,b1,experimental,Meaningless,NA,NA,left,left,1,886,267,"When Jen showed the treat, Maggie's tail began to",hold,False,4,9,64197954,0.96,peele,no,2026-02-25 00:56:05,2026-02-25 00:56:11
SD,amanda1000,right,right,full,2,A,40,b1,experimental,Switching,NA,NA,right,right,1,919,123,After missing lunch Harry badly needed some,rest,True,4,7,53534781,0.84,peele,no,2026-02-25 00:56:11,2026-02-25 00:56:16
SD,amanda1000,right,right,full,2,A,41,b1,experimental,Predictable,NA,NA,right,right,1,3162,47,"After hitting the iceberg, the ship began to",sink,True,4,8,8133475,0.96,block_baldwin,no,2026-02-25 00:56:16,2026-02-25 00:56:24
SD,amanda1000,right,right,full,2,A,42,b1,experimental,Meaningless,NA,NA,left,right,0,1120,298,Many brunettes like to dye their hair,cold,False,4,7,41281263,0.86,block_baldwin,no,2026-02-25 00:56:24,2026-02-25 00:56:29
SD,amanda1000,right,right,full,2,A,43,b1,experimental,Switching,NA,NA,right,right,1,729,126,"At the rock concert, the music was extremely",good,True,4,8,383787805,0.98,peele,no,2026-02-25 00:56:30,2026-02-25 00:56:35
SD,amanda1000,right,right,full,2,A,44,b1,experimental,Predictable,NA,NA,right,right,1,1621,28,Ana accidentally tripped and fell down the,stairs,True,6,7,4476933,0.88,block_baldwin,no,2026-02-25 00:56:35,2026-02-25 00:56:40
SD,amanda1000,right,right,full,2,A,45,b1,experimental,Predictable,NA,NA,right,left,0,1016,83,Jamie preferred to use cooking foil made of,aluminum,True,8,8,14118370,0.81,peele,no,2026-02-25 00:56:41,2026-02-25 00:56:46
SD,amanda1000,right,right,full,2,A,46,b1,experimental,Predictable,NA,NA,right,right,1,988,52,The librarian sternly told us to be,quiet,True,5,7,16787246,0.8,block_baldwin,no,2026-02-25 00:56:47,2026-02-25 00:56:51
SD,amanda1000,right,right,full,2,A,47,b1,experimental,Predictable,NA,NA,right,left,0,1102,27,"When the two met, one of them held out his",hand,True,4,10,123595776,0.95,block_baldwin,no,2026-02-25 00:56:52,2026-02-25 00:56:58
SD,amanda1000,right,right,full,2,A,48,b1,experimental,Switching,NA,NA,right,right,1,1168,91,"After washing his hands, Brandon dried them with a",napkin,True,6,9,1009668,0.96,peele,no,2026-02-25 00:56:59,2026-02-25 00:57:05
SD,amanda1000,right,right,full,2,A,49,b1,experimental,Meaningless,NA,NA,left,left,1,1092,283,When Colin saw smoke he called 911 to report a,kick,False,4,10,12992179,0.91,block_baldwin,no,2026-02-25 00:57:05,2026-02-25 00:57:12
SD,amanda1000,right,right,full,2,A,50,b1,experimental,Meaningless,NA,NA,left,right,0,1174,304,The directions did not match any roads on the,anger,False,5,9,8002746,0.85,block_baldwin,no,2026-02-25 00:57:12,2026-02-25 00:57:18
SD,amanda1000,right,right,full,2,A,51,b1,experimental,Predictable,NA,NA,right,right,1,1318,55,Although Keith bowled well he did not have the highest,score,True,5,10,69946284,0.94,block_baldwin,no,2026-02-25 00:57:19,2026-02-25 00:57:25
SD,amanda1000,right,right,full,2,A,52,b1,experimental,Switching,NA,NA,right,right,1,734,101,The little girl tripped and immediately began to,bleed,True,5,8,1991022,0.9,peele,no,2026-02-25 00:57:26,2026-02-25 00:57:31
SD,amanda1000,right,right,full,2,A,53,b1,experimental,Predictable,NA,NA,right,right,1,1443,26,Ellen replaced the fuse that no longer,worked,True,6,7,38254292,0.86,block_baldwin,no,2026-02-25 00:57:31,2026-02-25 00:57:36
SD,amanda1000,right,right,full,2,A,54,b1,experimental,Predictable,NA,NA,right,left,0,1123,63,American Presidents are limited to serving a period of eight,years,True,5,10,352363058,0.84,block_baldwin,no,2026-02-25 00:57:37,2026-02-25 00:57:43
SD,amanda1000,right,right,full,2,A,55,b2,experimental,Predictable,NA,NA,right,right,1,1260,33,She threw away the old paper in the,trash,True,5,8,7109005,0.89,block_baldwin,no,2026-02-25 00:58:14,2026-02-25 00:58:19
SD,amanda1000,right,right,full,2,A,56,b2,experimental,Predictable,NA,NA,right,right,1,1347,54,"After driving over sharp glass, Ronald had a flat",tire,True,4,9,9208689,1.0,peele,no,2026-02-25 00:58:20,2026-02-25 00:58:26
