participant_id,trial_number,block,type,condition,version,difficulty,correct,response_time_ms,error_type,start_time,end_time
amanda2,1,PRACTICE1,1-back,1-back,2,1-back,nogo,,,2025-10-12T17:39:41.090509,2025-10-12T17:40:01.239480
amanda2,2,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T17:39:41.090509,2025-10-12T17:40:04.323681
amanda2,3,PRACTICE1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T17:39:41.090509,2025-10-12T17:40:07.389332
amanda2,4,PRACTICE1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T17:39:41.090509,2025-10-12T17:40:10.401269
amanda2,5,PRACTICE1,1-back,1-back,2,1-back,different,191,response error,2025-10-12T17:39:41.090509,2025-10-12T17:40:12.106383
amanda2,6,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T17:39:41.090509,2025-10-12T17:40:15.117391
amanda2,7,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T17:39:41.090509,2025-10-12T17:40:18.127310
amanda2,8,PRACTICE1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T17:39:41.090509,2025-10-12T17:40:21.150467
amanda2,9,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T17:39:41.090509,2025-10-12T17:40:24.160441
amanda2,10,PRACTICE1,1-back,1-back,2,1-back,different,392,response error,2025-10-12T17:39:41.090509,2025-10-12T17:40:26.072447
