participant_id,trial_number,block,type,condition,version,difficulty,correct,response_time_ms,error_type,start_time,end_time
amanda107,1,PRACTICE1,1-back,1-back,1,1-back,nogo,1701,response error,2025-10-12T18:19:12.425461,2025-10-12T18:19:29.353046
amanda107,2,PRACTICE1,1-back,1-back,1,1-back,different,593,response error,2025-10-12T18:19:12.425461,2025-10-12T18:19:30.985026
amanda107,3,PRACTICE1,1-back,1-back,1,1-back,different,237,response error,2025-10-12T18:19:12.425461,2025-10-12T18:19:33.994958
amanda107,4,PRACTICE1,1-back,1-back,1,1-back,same,503,,2025-10-12T18:19:12.425461,2025-10-12T18:19:35.517929
amanda107,5,PRACTICE1,1-back,1-back,1,1-back,different,1452,response error,2025-10-12T18:19:12.425461,2025-10-12T18:19:38.000886
amanda107,6,PRACTICE1,1-back,1-back,1,1-back,same,1573,,2025-10-12T18:19:12.425461,2025-10-12T18:19:40.583880
amanda107,7,PRACTICE1,1-back,1-back,1,1-back,same,3000,no response error,2025-10-12T18:19:12.425461,2025-10-12T18:19:43.599900
amanda107,8,PRACTICE1,1-back,1-back,1,1-back,different,695,response error,2025-10-12T18:19:12.425461,2025-10-12T18:19:45.316863
amanda107,9,PRACTICE1,1-back,1-back,1,1-back,different,900,response error,2025-10-12T18:19:12.425461,2025-10-12T18:19:47.242715
amanda107,10,PRACTICE1,1-back,1-back,1,1-back,different,102,response error,2025-10-12T18:19:12.425461,2025-10-12T18:19:50.269125
amanda107,11,BLOCK1,1-back,1-back,1,1-back,nogo,,,2025-10-12T18:19:12.425461,2025-10-12T18:19:57.236733
amanda107,12,BLOCK1,1-back,1-back,1,1-back,different,759,response error,2025-10-12T18:19:12.425461,2025-10-12T18:20:00.877843
